[Mon Jun 06 18:05:20.836542 2016] [proxy:error] [pid 28734:tid 140389406816000] [client 31.52.219.226:50347] AH00898: DNS lookup failure for: garethferguson.co.uk:3000css returned by /css/main.min.css, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:05:20.854998 2016] [proxy:error] [pid 28734:tid 140389327566592] [client 31.52.219.226:50346] AH00898: DNS lookup failure for: garethferguson.co.uk:3000fonts returned by /fonts/fontawesome-webfont.ttf, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:05:21.107778 2016] [proxy:error] [pid 28734:tid 140389319173888] [client 31.52.219.226:50346] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon-96x96.png returned by /favicon-96x96.png, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:05:24.490037 2016] [proxy:error] [pid 28734:tid 140389293995776] [client 31.52.219.226:50347] AH00898: DNS lookup failure for: garethferguson.co.uk:3000css returned by /css/main.min.css, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:05:24.589221 2016] [proxy:error] [pid 28734:tid 140389302388480] [client 31.52.219.226:50346] AH00898: DNS lookup failure for: garethferguson.co.uk:3000js returned by /js/build/production.min.js, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:05:24.620972 2016] [proxy:error] [pid 28734:tid 140389415208704] [client 31.52.219.226:50347] AH00898: DNS lookup failure for: garethferguson.co.uk:3000fonts returned by /fonts/fontawesome-webfont.woff, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:05:24.702958 2016] [proxy:error] [pid 28734:tid 140389277210368] [client 31.52.219.226:50346] AH00898: DNS lookup failure for: garethferguson.co.uk:3000fonts returned by /fonts/fontawesome-webfont.ttf, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:05:24.707186 2016] [proxy:error] [pid 28734:tid 140389285603072] [client 31.52.219.226:50347] AH00898: DNS lookup failure for: garethferguson.co.uk:3000css returned by /css/main.min.css, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:05:24.900364 2016] [proxy:error] [pid 28734:tid 140389268817664] [client 31.52.219.226:50347] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon-96x96.png returned by /favicon-96x96.png, referer: http://garethferguson.co.uk/
[Mon Jun 06 18:05:26.162409 2016] [proxy:error] [pid 28734:tid 140389260424960] [client 31.52.219.226:50347] AH00898: DNS lookup failure for: garethferguson.co.uk:3000favicon-96x96.png returned by /favicon-96x96.png, referer: http://garethferguson.co.uk/
